rivers,lat,lon, low, Mid, up
Mankyong,38.2,126.6,2.08 ,18.40 ,51.83 
Antigua,18.2,-90.3,6.60 ,18.25 ,36.70 
Mazaroni,6.1,-59.2,9.48 ,18.25 ,31.69 
Valapattanam,12,75.4,9.62 ,18.17 ,31.23 
Blanco,25.6,-104.7,6.52 ,17.85 ,36.05 
Tagoloan,8.6,124.8,8.60 ,17.83 ,32.31 
Yaracuy,10.5,-68.7,9.57 ,17.74 ,30.02 
Rapel,-34,-71.7,3.48 ,17.59 ,41.57 
Kaladan,21.3,92.7,9.71 ,17.56 ,29.24 
Santa Maria,23.6,-102,5.74 ,17.48 ,36.24 
Chiloango,-5.1,12.4,9.93 ,17.31 ,27.72 
Mearim,-3,-44,6.78 ,17.18 ,33.60 
Chiriqui,8.4,-82.5,5.71 ,17.17 ,35.65 
Rokan,0.8,100.7,8.28 ,17.01 ,30.70 
Tempisque,10.4,-85.4,5.38 ,16.95 ,35.55 
Maha Oya,7.5,79.9,6.29 ,16.93 ,33.86 
Ouse,53.9,-1.1,1.33 ,16.92 ,58.44 
Jintsu,36.8,137.3,1.80 ,16.40 ,46.87 
Yoshino,34.5,133.6,1.78 ,16.40 ,46.74 
Gediz,38.6,27,5.30 ,16.34 ,34.08 
Ysil Irmak,41.3,35.4,5.28 ,16.29 ,33.88 
Wadi Baraka,20.7,10.5,9.11 ,16.09 ,26.27 
Mondego,40.1,-8.8,3.09 ,16.01 ,38.17 
Nautla ,20.216,-96.755,5.82 ,15.98 ,32.15 
Seli,62.3,9.7,9.19 ,15.91 ,25.28 
Pregolua,57.9,49.1,6.51 ,15.73 ,30.50 
Tuhaihe,36.7,119,6.38 ,15.70 ,30.46 
Semani,40.7,19.7,5.31 ,15.68 ,32.18 
Pachang,23.3,120.4,6.38 ,15.59 ,29.98 
Sine,14.3,-16.4,8.88 ,15.59 ,25.26 
Narcea,43.4,-6.1,1.96 ,15.51 ,41.98 
Sabine,29.6,-93.8,1.50 ,15.40 ,45.91 
Sadang,-5.1,119.2,7.38 ,15.15 ,27.26 
Una,-15.2,-39.1,5.98 ,15.12 ,29.64 
Jubones,-3.3,-79.4,8.31 ,15.11 ,25.18 
Polochic,15.5,-89.5,7.90 ,15.10 ,26.21 
Baudo,5.3,-77.1,6.30 ,15.09 ,29.01 
Cauto,20,-76.9,5.28 ,14.76 ,30.12 
Manati,18.4,-66.5,1.46 ,14.64 ,44.09 
Houlung,24.6,120.8,5.93 ,14.64 ,28.34 
Capiberibe,-8.3,-35,5.83 ,14.63 ,28.67 
Cuvo,-12.1,14.4,8.34 ,14.56 ,23.32 
Touchien,24.5,120.7,5.90 ,14.47 ,28.09 
Ikopa,-18.9,47.5,8.21 ,14.47 ,23.44 
Liffey,53.3,-6.3,1.33 ,14.44 ,45.27 
Tonala ,18.218,-94.518,5.27 ,14.44 ,29.10 
G?ksu,36.4,34,4.76 ,14.39 ,29.99 
Netravati ,12.833,74.842,7.56 ,14.35 ,24.74 
Rogue,42.4,-124.4,1.41 ,14.33 ,42.49 
Kebir,36.9,3.3,5.81 ,14.30 ,27.80 
Changhuajiang,43.8,125.5,5.80 ,14.22 ,27.57 
Pechora,66.5,57.1,5.83 ,14.19 ,27.39 
Motatan,9.3,-71.8,7.57 ,14.02 ,23.79 
Peikang,23.6,120.4,5.71 ,13.96 ,27.08 
Bueno,-37.5,-72.2,2.75 ,13.83 ,32.61 
San Juan,10.2,-84.7,7.15 ,13.83 ,24.19 
Anabar,74.7,114.2,5.58 ,13.67 ,26.47 
Puelo,-41.6,-72,2.75 ,13.64 ,32.11 
Minho,41.9,-8.8,5.96 ,13.54 ,25.68 
Waikato,-37.8,175.2,1.38 ,13.45 ,39.38 
Umzimkulu,-30,30.2,6.49 ,13.44 ,24.36 
Dalinghe,41.2,121.3,5.43 ,13.37 ,25.85 
Guadalupe,29.7,-97.9,1.31 ,13.28 ,39.68 
Markham,-6.2,147.4,7.47 ,13.24 ,21.72 
Esk,54.3,-2.2,1.39 ,13.24 ,38.59 
Negro,-34.6,-58.4,3.20 ,13.20 ,29.59 
Rimac,-12,-77,5.48 ,13.19 ,25.51 
Pindaré,-3.2,-45.2,5.16 ,13.15 ,25.79 
Prinza Polka,12.3,-83.7,6.75 ,13.14 ,22.88 
Mat,40.9,20.2,4.41 ,12.91 ,26.42 
Alas,4.6,96.2,6.24 ,12.84 ,23.18 
Cazones,20.4,-97.3,4.65 ,12.84 ,25.89 
Mand,25.2,64,3.91 ,12.83 ,26.97 
Pasig,14.6,120.9,6.19 ,12.77 ,23.06 
Neches,30,-94,1.30 ,12.71 ,38.10 
Ooi,5.4,100.6,1.40 ,12.70 ,36.73 
Valdivia,-39.8,-73.2,2.57 ,12.56 ,29.55 
Filyos,41.6,32.1,4.04 ,12.48 ,25.78 
Achigate,10.8,76.2,6.52 ,12.47 ,21.56 
Burhabalang,21.8,86.8,6.39 ,12.17 ,21.00 
Ikpikpuk,70.4,-155.3,1.20 ,12.16 ,36.41 
Dee,54.9,-3,1.23 ,12.02 ,35.59 
Nooksak,48.9,-122.2,1.20 ,11.99 ,35.79 
Guanipa,9,-64.1,6.44 ,11.88 ,20.02 
Rioni,42.2,41.9,4.11 ,11.85 ,24.06 
Mungo,4.2,9.7,6.58 ,11.80 ,19.44 
